(166, 6888, 6890)
(167, 13944, 13945)
(168, 7055, 7057)
(168, 3526, 3530)
(168, 2349, 2355)
(168, 1760, 1768)
(168, 1170, 1182)
(168, 1001, 1015)
(168, 874, 890)
(168, 775, 793)
(168, 576, 600)
(168, 490, 518)
(168, 425, 457)
(168, 374, 410)
(168, 315, 357)
(168, 270, 318)
(168, 224, 280)
(169, 14280, 14281)
(169, 1092, 1105)
(170, 7224, 7226)
(170, 1440, 1450)
(170, 408, 442)
(170, 264, 314)
(171, 14620, 14621)
(171, 4872, 4875)
(171, 1620, 1629)
(171, 760, 779)
(171, 528, 555)
(171, 228, 285)
(172, 7395, 7397)
(172, 3696, 3700)
(172, 1845, 1853)
(173, 14964, 14965)
(174, 7568, 7570)
(174, 2520, 2526)
(174, 832, 850)
(174, 232, 290)
(175, 15312, 15313)
(175, 3060, 3065)
(175, 2184, 2191)
(175, 600, 625)
(175, 420, 455)
(175, 288, 337)
(176, 7743, 7745)
(176, 3870, 3874)
(176, 1932, 1940)
(176, 960, 976)
(176, 693, 715)
(176, 468, 500)
(176, 330, 374)
(176, 210, 274)
(177, 15664, 15665)
(177, 5220, 5223)
(177, 1736, 1745)
(177, 236, 295)
(178, 7920, 7922)
(179, 16020, 16021)
(180, 8099, 8101)
(180, 4048, 4052)
(180, 2697, 2703)
(180, 2021, 2029)
(180, 1615, 1625)
(180, 1344, 1356)
(180, 891, 909)
(180, 800, 820)
(180, 663, 687)
(180, 525, 555)
(180, 432, 468)
(180, 385, 425)
(180, 299, 349)
(180, 273, 327)
(180, 240, 300)
(180, 189, 261)
(181, 16380, 16381)
(182, 8280, 8282)
(182, 1176, 1190)
(182, 624, 650)
(183, 16744, 16745)
(183, 5580, 5583)
(183, 1856, 1865)
(183, 244, 305)
(184, 8463, 8465)
(184, 4230, 4234)
(184, 2112, 2120)
(184, 1050, 1066)
(184, 513, 545)
(184, 345, 391)
(185, 17112, 17113)
(185, 3420, 3425)
(185, 672, 697)
(185, 444, 481)
(186, 8648, 8650)
(186, 2880, 2886)
(186, 952, 970)
(186, 248, 310)
(187, 17484, 17485)
(187, 1584, 1595)
(187, 1020, 1037)
(188, 8835, 8837)
(188, 4416, 4420)
(188, 2205, 2213)
(189, 17860, 17861)
(189, 5952, 5955)
(189, 2548, 2555)
(189, 1980, 1989)
(189, 840, 861)
(189, 648, 675)
(189, 340, 389)
(189, 252, 315)
(190, 9024, 9026)
(190, 1800, 1810)
(190, 456, 494)
(190, 336, 386)
(191, 18240, 18241)
(192, 9215, 9217)
(192, 4606, 4610)
